features,funny,happy,sad,scary,tender,trance
"[60.09265988372093, 0.028816306963562965, 0.0035452833399176598, 0.9458630084991455, 0.04309862479567528, -133.815185546875, 92.15292358398438, 14.403404235839844, 17.230588912963867, 9.891626358032227, 11.903042793273926, 10.389681816101074, 6.313873767852783, 13.134047508239746, 19.091859817504883, 10.045628547668457, 15.759902000427246, 14.575122833251953, 6.3429789543151855, -3.273430109024048, 4.203372478485107, -4.99915075302124, -0.14108479022979736, -5.35869836807251, 3.6500532627105713, 53.05177307128906, 28.534557342529297, 20.398056030273438, 15.812668800354004, 10.305662155151367, 10.648604393005371, 9.00619125366211, 8.770927429199219, 8.23790454864502, 7.472175121307373, 7.328248500823975, 8.68047046661377, 8.414748191833496, 7.858638286590576, 5.488580226898193, 6.368988037109375, 8.100927352905273, 8.764799118041992, 7.690608501434326, 9.278328895568848, 0.3037630319595337, 0.03125673905014992, 0.06809040158987045, 0.2788837254047394, 0.07638005912303925, 0.2909446656703949, 0.08320725709199905, 0.1849035918712616, 0.28546637296676636, 0.3184162974357605, 0.33054041862487793, 0.1124487891793251, 2025.448787709099, 762.3216318410391, 2651.1397612456826, 484.33478323775535, 25.616102463243074, 17.91992201950039, 20.014197875464276, 18.568128997867923, 19.664158040970378, 18.69435064742186, 47.345247771044626, 4.629276998196783, 4.233548886804416, 4.625604290424793, 4.555522314667379, 3.5653542247052648, 3.013099362106318, 4.055270607154082]",0,0,0,0,1,0
"[151.99908088235293, 0.012850006110966206, 0.0006199703202582896, 0.890346348285675, 0.07598534971475601, -298.3045959472656, 82.69465637207031, 26.68659782409668, 31.567838668823242, 19.719074249267578, 15.851244926452637, 7.33730936050415, 9.188175201416016, 3.085798501968384, 3.952014684677124, 4.641000747680664, 11.349599838256836, 4.283316135406494, 4.187577247619629, 0.15800996124744415, 3.1887569427490234, -4.466341018676758, 3.8297903537750244, 6.0986008644104, -0.9727423787117004, 178.64511108398438, 38.816749572753906, 23.682180404663086, 20.521745681762695, 23.214191436767578, 14.4605131149292, 16.884798049926758, 9.56908130645752, 11.705233573913574, 9.536684036254883, 6.083676338195801, 8.421703338623047, 10.566485404968262, 9.965972900390625, 12.168991088867188, 5.074715614318848, 5.9699530601501465, 4.243679523468018, 8.390069961547852, 10.980833053588867, 0.3166155517101288, 0.2525731027126312, 0.11268284171819687, 0.12977096438407898, 0.2222498208284378, 0.27462518215179443, 0.2640911340713501, 0.20643071830272675, 0.22414273023605347, 0.3801066279411316, 0.22476500272750854, 0.20748412609100342, 1217.6740921208182, 1111.1937489119684, 1524.147619854521, 1093.8781217138253, 19.717275667292547, 14.345315195067585, 17.15322700188696, 19.0642118931811, 25.27578529912822, 28.816324798799506, 47.453569182697834, 5.008869330286593, 3.675256600292729, 4.719824398899571, 5.021696416258653, 7.533006815448167, 8.083460649596146, 16.624214370967326]",0,0,0,1,0,0
"[66.25600961538461, 0.007094626314938068, 0.001580923330038786, 0.6780987977981567, 0.026032567024230957, -114.54017639160156, 91.85408782958984, 4.956754207611084, 33.26620864868164, 7.175841331481934, 6.462991237640381, -4.368060111999512, 7.833325386047363, -4.354898452758789, 3.8610637187957764, -5.23081111907959, 8.44164752960205, -5.6064863204956055, -1.4051460027694702, -5.090002536773682, -2.8918139934539795, -3.287309408187866, -1.8304531574249268, -9.337440490722656, -1.6207693815231323, 31.256898880004883, 23.256389617919922, 17.14830780029297, 14.087818145751953, 11.753584861755371, 9.254766464233398, 9.116064071655273, 9.062888145446777, 7.514304161071777, 7.765851974487305, 8.217386245727539, 6.454648971557617, 7.461030006408691, 6.981398105621338, 6.699707508087158, 6.9340500831604, 7.444671630859375, 6.575850009918213, 6.763037204742432, 6.934205055236816, 0.22466881573200226, 0.20928724110126495, 0.4238249659538269, 0.26907968521118164, 0.2955411970615387, 0.2103111445903778, 0.2176741659641266, 0.3022139370441437, 0.17660214006900787, 0.23369179666042328, 0.12273828685283661, 0.27923867106437683, 2342.339389183894, 743.8393082900831, 2534.0628605965117, 355.40460586192444, 20.302196418026462, 16.33916346894405, 19.9863322016065, 18.909355413799155, 19.16627518747602, 18.259566407777353, 48.94596667506951, 4.684059535792102, 3.826686446367515, 4.855611798756519, 3.806245305506072, 3.391682097650944, 2.3925991335378214, 3.430295432039713]",0,0,1,0,0,0
"[143.5546875, 0.026307208463549614, 0.007224163506180048, 0.6720913052558899, 0.07185054570436478, -86.75733947753906, 80.45893096923828, 32.082000732421875, 27.302339553833008, 18.219423294067383, 16.389089584350586, 9.18165111541748, 10.530672073364258, 6.000211715698242, 9.017016410827637, 5.347174644470215, 2.5082802772521973, -3.489995241165161, 5.086444854736328, 3.3490827083587646, 5.369845867156982, -3.1148953437805176, 3.591299533843994, -0.3062574565410614, 3.685661554336548, 28.7436466217041, 13.015405654907227, 8.405054092407227, 8.538981437683105, 7.430611610412598, 7.15938138961792, 6.522708415985107, 7.949881553649902, 7.646236896514893, 7.103631973266602, 6.281477928161621, 6.132129192352295, 7.476498603820801, 7.198636054992676, 6.996865272521973, 6.196900367736816, 5.865919589996338, 6.762828350067139, 5.54244327545166, 6.055710792541504, 0.16961508989334106, 0.15624745190143585, 0.2435905933380127, 0.1902746558189392, 0.26856037974357605, 0.3672043979167938, 0.3667287528514862, 0.4601932168006897, 0.3040391504764557, 0.22285854816436768, 0.1694003790616989, 0.0659562274813652, 2261.664322168027, 489.22278879795556, 2936.958146621264, 205.1695238713983, 16.893373172293565, 14.765890057219515, 19.919693298569587, 21.004615062006565, 21.117648614614318, 19.29009512905697, 47.91835661975071, 4.820962553420121, 3.6194452893361753, 4.066049871349156, 3.078663578765501, 3.2346584071085966, 2.585666563922315, 3.7025569899095414]",1,0,0,0,0,0
"[89.10290948275862, 0.0001328783546341583, 0.00018625608936417848, 0.5495309829711914, 0.00805305503308773, -285.0697021484375, 88.970458984375, -12.663899421691895, 23.786548614501953, -6.973694324493408, -0.8239927887916565, -2.710442304611206, -4.917075157165527, -8.952356338500977, 8.746285438537598, -7.673070907592773, 6.622799396514893, -3.563762664794922, 5.807960510253906, -4.842347145080566, -0.2901604175567627, -7.773566722869873, 4.227365493774414, -8.384467124938965, 2.9232091903686523, 69.60307312011719, 38.288360595703125, 23.959447860717773, 18.975309371948242, 11.766016960144043, 14.132359504699707, 11.611343383789062, 12.537013053894043, 8.714463233947754, 9.86789608001709, 10.244651794433594, 7.986587047576904, 7.278357028961182, 8.136775016784668, 7.506194591522217, 6.680754661560059, 6.994016170501709, 6.719786167144775, 5.942966461181641, 6.6211066246032715, 0.2750546336174011, 0.3207767903804779, 0.20619407296180725, 0.2412867695093155, 0.26731589436531067, 0.20939524471759796, 0.19349007308483124, 0.2238720804452896, 0.3541125953197479, 0.3511819541454315, 0.3061290979385376, 0.3324185311794281, 2555.4332245057303, 1021.6618309659386, 2389.7811287843724, 538.2615272941144, 15.121431124075034, 16.318202874584344, 19.038172333591113, 17.52734640540321, 17.647041444868066, 19.344315519287974, 58.97128988548108, 4.75989409174377, 4.519432162967275, 4.5899348892911975, 3.5927373090496864, 3.106907276751496, 4.030636688736607, 4.6807800941571385]",0,1,0,0,0,0
"[117.45383522727273, 0.012085354886949062, 0.0041690971702337265, 0.667000949382782, 0.035513121634721756, -64.52196502685547, 59.56825637817383, -16.475223541259766, 46.26640319824219, 9.147192001342773, 25.02888298034668, -1.3148325681686401, 17.022891998291016, -5.136701583862305, 7.075153827667236, -11.412893295288086, 2.512801170349121, -12.522480964660645, 6.332197189331055, -5.871610641479492, 9.147172927856445, -8.536916732788086, 6.038904666900635, -3.197328567504883, 6.544734477996826, 33.97881317138672, 19.41512680053711, 13.884489059448242, 10.454862594604492, 7.440118312835693, 8.712316513061523, 9.098934173583984, 8.721954345703125, 8.019338607788086, 6.614399433135986, 6.960230350494385, 9.094720840454102, 10.421009063720703, 9.208209991455078, 8.545219421386719, 7.939202785491943, 10.83752727508545, 11.13514518737793, 9.539386749267578, 12.314645767211914, 0.3978469967842102, 0.3077789545059204, 0.1681336909532547, 0.11548499763011932, 0.20935852825641632, 0.26847878098487854, 0.3061896860599518, 0.358063280582428, 0.35529443621635437, 0.24730828404426575, 0.23237769305706024, 0.26974156498908997, 2853.06191577247, 501.75332918441217, 2514.814815431803, 228.62136506592392, 16.777679140541004, 16.272678272850275, 20.5165718631305, 20.888615667547985, 20.853128067480633, 18.54367075474039, 62.52023891678884, 3.8832907559040253, 4.023239224008886, 4.772882417955143, 4.2367126048287345, 3.4656200793034144, 2.5882857531939236, 5.011238167213578]",0,1,0,0,0,0
"[123.046875, 0.0026407453697174788, 0.0009369117906317115, 0.5200816988945007, 0.026279669255018234, -221.7375030517578, 198.54859924316406, -16.420574188232422, 15.932526588439941, 3.7364580631256104, 5.969660758972168, 8.446410179138184, 5.392593860626221, -4.427873134613037, 3.114619731903076, 0.9857348203659058, 6.609565734863281, 3.8131580352783203, 3.133493423461914, -3.6801047325134277, 1.6083650588989258, -3.2660741806030273, 0.5096912980079651, -1.804071307182312, -0.09644704312086105, 68.04374694824219, 21.98176383972168, 17.377050399780273, 8.23689079284668, 7.320928573608398, 6.024282455444336, 9.774283409118652, 6.017038345336914, 5.903995990753174, 6.856200218200684, 6.904210090637207, 4.255208492279053, 5.656250953674316, 4.176358222961426, 4.418240547180176, 4.9608154296875, 6.161001682281494, 5.078603267669678, 4.711456298828125, 4.318164825439453, 0.30602338910102844, 0.28922125697135925, 0.22648385167121887, 0.3879818916320801, 0.30001384019851685, 0.2797571122646332, 0.3344533443450928, 0.25579676032066345, 0.3710159957408905, 0.17054255306720734, 0.1471288949251175, 0.1756250411272049, 871.269831028395, 283.41154330256586, 1197.3319833949117, 257.1614930616147, 12.923907248970327, 12.061735577848903, 15.426715847090028, 15.721951747936492, 17.7153315872002, 21.448306408920775, 47.58509694687301, 4.0204726208710975, 3.1569707925327317, 3.423665911886374, 2.5031241655029413, 2.108119816653153, 2.308708812512886, 3.609504361933244]",0,0,0,1,0,0
"[151.99908088235293, 0.027397416532039642, 0.0014458431396633387, 0.8031160235404968, 0.07585777342319489, -177.40087890625, 164.0216522216797, 7.297768592834473, 23.57213020324707, 20.10955810546875, -12.955994606018066, 0.2025938183069229, -10.731765747070312, -10.221476554870605, 3.1114819049835205, -12.278891563415527, 2.121884822845459, -2.7149481773376465, -0.40633076429367065, -12.973942756652832, -7.038806915283203, -9.939547538757324, 3.4206817150115967, -3.2409677505493164, -4.4108357429504395, 19.277339935302734, 11.992642402648926, 10.87177848815918, 8.87546443939209, 9.035852432250977, 9.93282413482666, 7.118188381195068, 8.065213203430176, 8.154501914978027, 8.469520568847656, 8.267004013061523, 9.346104621887207, 7.288614273071289, 9.118396759033203, 9.319474220275879, 6.009363651275635, 7.252143383026123, 9.30583667755127, 6.121309280395508, 6.151433944702148, 0.29473185539245605, 0.4335133731365204, 0.09731610119342804, 0.325375497341156, 0.33111485838890076, 0.07950516045093536, 0.13936811685562134, 0.08103907108306885, 0.3484041094779968, 0.16583584249019623, 0.10061314702033997, 0.07788943499326706, 951.2450719870725, 185.07274801097486, 1556.7518325738154, 221.78840247435897, 21.120946734866923, 18.093655677332315, 20.943706674646087, 20.601405835927153, 20.881209506568556, 21.51259094436228, 50.44679638792679, 4.796700748429005, 4.036762099178456, 3.2799430730353154, 2.46226185518591, 2.811646797103683, 2.288817783610779, 4.136493280557855]",0,0,0,1,0,0
"[107.666015625, 0.02762146294116974, 0.0030440182890743017, 0.6704508066177368, 0.10102971643209457, -148.8905029296875, 178.11770629882812, -7.520465850830078, 9.708285331726074, -10.963349342346191, 8.12479019165039, 11.452479362487793, 4.804777145385742, -4.917377471923828, 1.806477665901184, 1.4377704858779907, -1.0722533464431763, 3.2347805500030518, 2.1061384677886963, 4.65872049331665, 10.160697937011719, 3.0362250804901123, -2.031616687774658, -2.511913776397705, -1.5498220920562744, 118.13788604736328, 43.59684753417969, 47.3218879699707, 19.85110092163086, 10.37226676940918, 12.551733016967773, 15.058984756469727, 5.830530643463135, 6.606524467468262, 6.855920314788818, 5.142169952392578, 5.487574100494385, 5.706845760345459, 5.941456317901611, 6.232485294342041, 7.549272060394287, 5.481871128082275, 5.724116802215576, 5.108215808868408, 7.614531993865967, 0.217357337474823, 0.12400676310062408, 0.1798216849565506, 0.12231186032295227, 0.38196662068367004, 0.32743313908576965, 0.14819784462451935, 0.25760266184806824, 0.23632179200649261, 0.45853379368782043, 0.2176181972026825, 0.3733442723751068, 1055.0576525584997, 706.3861592447254, 1102.5285317518294, 456.1204129434656, 15.431247867943135, 12.920380559782455, 16.9465717920189, 18.365839978000164, 19.404504728076745, 22.859668914995478, 49.98413942644665, 4.366754273424487, 3.295512857682408, 3.96498052482884, 2.732501083044197, 2.9722708391556805, 5.120628298823432, 5.287689212266189]",0,0,0,1,0,0
"[135.99917763157896, 0.03868429735302925, 0.006045402027666569, 0.9096120595932007, 0.032362550497055054, -50.82929611206055, 103.36100006103516, -0.6036452054977417, 30.670589447021484, 6.534815788269043, 3.741328001022339, 12.740823745727539, 3.152376174926758, 8.657121658325195, 1.395801305770874, 5.585337162017822, 4.563390731811523, -3.3341872692108154, 8.651937484741211, 1.2097066640853882, 3.9893980026245117, -2.6298766136169434, 0.31104153394699097, -4.560159206390381, 3.285449743270874, 34.84596633911133, 24.168193817138672, 19.223642349243164, 13.657753944396973, 11.267388343811035, 9.79693603515625, 8.684198379516602, 10.988134384155273, 9.68614673614502, 8.071964263916016, 7.054183006286621, 8.1272611618042, 7.167792797088623, 6.775204181671143, 7.960212230682373, 6.567592620849609, 6.594647407531738, 6.43389368057251, 6.590595245361328, 7.346862316131592, 0.14215970039367676, 0.12696436047554016, 0.4310376048088074, 0.23718588054180145, 0.12499409914016724, 0.24317379295825958, 0.192800834774971, 0.33747896552085876, 0.18023982644081116, 0.26982709765434265, 0.2864282429218292, 0.08547195047140121, 2116.251558983393, 699.1133750660221, 2473.781620191845, 489.680087500461, 18.82636508314567, 15.383036262289023, 18.73118803583248, 19.305961819017686, 19.627101261257405, 21.39785984618255, 47.43748741584617, 4.6268788419100355, 3.440687833508682, 3.794499072883241, 3.516699589058343, 3.8662812650260663, 5.166246019388587, 4.035265461339992]",0,0,0,0,1,0
